seed,turbine,pattern,severity,imputer,masked_fraction,rmse,roc_auc,detection_rate,healthy_day_false_alarm_rate
0,3,clean,0.0,none,0.0,0.0,0.987529433850122,1.0,0.12637362637362637
0,3,random,0.1,ffill,0.1,2.8552391998931936,0.9739540852834194,1.0,0.5769230769230769
0,3,random,0.1,linear,0.1,2.0787124678810343,0.9809235556305554,1.0,0.3708791208791209
0,3,random,0.1,median,0.1,8.49017345439444,0.9267187352280108,1.0,0.8626373626373627
0,3,random,0.3,ffill,0.3,3.0511135009315997,0.9451503372686901,1.0,0.8516483516483516
0,3,random,0.3,linear,0.3,2.211783704358114,0.963134198025217,1.0,0.6813186813186813
0,3,random,0.3,median,0.3,8.685323565558681,0.8093813771930032,1.0,0.9945054945054945
0,3,block,0.1,ffill,0.10083333333333333,7.104721068014993,0.9440784238512823,1.0,0.28296703296703296
0,3,block,0.1,linear,0.10083333333333333,5.222469138533787,0.949136974156721,1.0,0.27472527472527475
0,3,block,0.1,median,0.10083333333333333,8.97982931690792,0.9313298831049617,1.0,0.2967032967032967
0,3,block,0.3,ffill,0.3006666666666667,7.051412636280669,0.8707949000415325,1.0,0.5412087912087912
0,3,block,0.3,linear,0.3006666666666667,5.183100196178808,0.9007967287325996,1.0,0.5137362637362637
0,3,block,0.3,median,0.3006666666666667,8.774625941910642,0.8068492217671391,1.0,0.5467032967032966
0,3,dropout,0.1,ffill,0.12,9.943255146005047,0.9778495699978098,1.0,0.12637362637362637
0,3,dropout,0.1,linear,0.12,8.857136925678892,0.9660467754099674,1.0,0.12637362637362637
0,3,dropout,0.1,median,0.12,9.796238448584605,0.9610102507226944,1.0,0.12637362637362637
0,3,dropout,0.3,ffill,0.31233333333333335,8.3526531682601,0.8410076799377231,1.0,0.34615384615384615
0,3,dropout,0.3,linear,0.31233333333333335,7.575093150643182,0.8622590129111916,1.0,0.3434065934065934
0,3,dropout,0.3,median,0.31233333333333335,8.734827545960067,0.8130018240600397,1.0,0.34615384615384615
0,4,clean,0.0,none,0.0,0.0,0.9985608799946053,1.0,0.09315068493150686
0,4,random,0.1,ffill,0.1,2.701369888767757,0.9917860257505456,1.0,0.5013698630136987
0,4,random,0.1,linear,0.1,2.0412739255995787,0.9966739057531705,1.0,0.3424657534246575
0,4,random,0.1,median,0.1,9.397414429704348,0.9408937453682665,1.0,0.8136986301369863
0,4,random,0.3,ffill,0.3,2.9261755168877874,0.9700710252767123,1.0,0.8082191780821918
0,4,random,0.3,linear,0.3,2.1370304865211276,0.9891354967460255,1.0,0.6328767123287671
0,4,random,0.3,median,0.3,9.12169448851583,0.8253279247451267,1.0,0.9780821917808219
0,4,block,0.1,ffill,0.10041666666666667,5.647791877338171,0.9705950090852851,1.0,0.23835616438356164
0,4,block,0.1,linear,0.10041666666666667,4.9444648617862095,0.970408864373811,1.0,0.2410958904109589
0,4,block,0.1,median,0.10041666666666667,9.307051361131848,0.9277550688006894,1.0,0.24383561643835616
0,4,block,0.3,ffill,0.30133333333333334,6.773517346790514,0.891711104763215,1.0,0.5013698630136987
0,4,block,0.3,linear,0.30133333333333334,5.094031096405228,0.9233945611632781,1.0,0.4904109589041096
0,4,block,0.3,median,0.30133333333333334,9.682424979833339,0.8121410177213607,1.0,0.5123287671232877
0,4,dropout,0.1,ffill,0.12,8.925977421224589,0.9175294214254144,1.0,0.2547945205479452
0,4,dropout,0.1,linear,0.12,7.524083882443975,0.9363694574932113,1.0,0.2547945205479452
0,4,dropout,0.1,median,0.12,9.031161938368866,0.9170340144445132,1.0,0.25753424657534246
0,4,dropout,0.3,ffill,0.3,9.977750636897417,0.8398477769995393,1.0,0.3972602739726027
0,4,dropout,0.3,linear,0.3,8.968527564832478,0.8437836984898446,1.0,0.3972602739726027
0,4,dropout,0.3,median,0.3,10.311410801979964,0.794340477879107,1.0,0.3972602739726027
0,5,clean,0.0,none,0.0,0.0,0.9200159567908226,1.0,0.11704834605597965
0,5,random,0.1,ffill,0.1,2.6111483563588274,0.9098304465132901,1.0,0.4910941475826972
0,5,random,0.1,linear,0.1,2.0168175704138047,0.9131893321051134,1.0,0.33078880407124683
0,5,random,0.1,median,0.1,8.594358227401225,0.8637674826274846,1.0,0.8676844783715013
0,5,random,0.3,ffill,0.3,2.974349524067884,0.8679647918695872,1.0,0.821882951653944
0,5,random,0.3,linear,0.3,2.1475216535686874,0.8904933769250711,1.0,0.628498727735369
0,5,random,0.3,median,0.3,8.63609323668732,0.7606114861208638,1.0,0.989821882951654
0,5,block,0.1,ffill,0.10091666666666667,6.2741355799304355,0.8776865736441133,1.0,0.29770992366412213
0,5,block,0.1,linear,0.10091666666666667,4.554394603095586,0.8879642633323517,1.0,0.2951653944020356
0,5,block,0.1,median,0.10091666666666667,8.707698391510387,0.8527946720929822,1.0,0.3053435114503817
0,5,block,0.3,ffill,0.30033333333333334,7.091011571727748,0.7874215373889757,1.0,0.5292620865139949
0,5,block,0.3,linear,0.30033333333333334,5.272145388336732,0.8199113190024236,1.0,0.5063613231552163
0,5,block,0.3,median,0.30033333333333334,8.305479277515632,0.786067003420391,1.0,0.539440203562341
0,5,dropout,0.1,ffill,0.12,9.084397497953859,0.8464986295784539,1.0,0.2544529262086514
0,5,dropout,0.1,linear,0.12,9.686475763271336,0.8422250285032579,1.0,0.25699745547073793
0,5,dropout,0.1,median,0.12,7.925164803695692,0.8446227943008584,1.0,0.25699745547073793
0,5,dropout,0.3,ffill,0.30366666666666664,9.285175623975361,0.7431367237738565,1.0,0.4198473282442748
0,5,dropout,0.3,linear,0.30366666666666664,7.542064214648636,0.7724689673137473,1.0,0.4173027989821883
0,5,dropout,0.3,median,0.30366666666666664,7.246973313135283,0.7534785929835423,1.0,0.4198473282442748
0,6,clean,0.0,none,0.0,0.0,0.9953972105627636,1.0,0.0958904109589041
0,6,random,0.1,ffill,0.1,2.828867716875235,0.9844328578397704,1.0,0.5150684931506849
0,6,random,0.1,linear,0.1,2.117936391784056,0.9915298508684928,1.0,0.3780821917808219
0,6,random,0.1,median,0.1,9.208000368014245,0.9388671625932263,1.0,0.8712328767123287
0,6,random,0.3,ffill,0.3,2.8291608039723033,0.9652023470950525,1.0,0.8301369863013699
0,6,random,0.3,linear,0.3,2.068338557944053,0.9812700920230327,1.0,0.6136986301369863
0,6,random,0.3,median,0.3,9.132152917199587,0.8263311634146123,1.0,0.9835616438356164
0,6,block,0.1,ffill,0.10083333333333333,5.204713352858298,0.952781705679684,1.0,0.2328767123287671
0,6,block,0.1,linear,0.10083333333333333,4.523818907627756,0.9636154860201143,1.0,0.2191780821917808
0,6,block,0.1,median,0.10083333333333333,9.697052657145585,0.9419423906967401,1.0,0.23835616438356164
0,6,block,0.3,ffill,0.30175,6.023893646204757,0.8925204050409523,1.0,0.5095890410958904
0,6,block,0.3,linear,0.30175,4.780994566561018,0.9136477168413638,1.0,0.5068493150684932
0,6,block,0.3,median,0.30175,8.744285812690146,0.8278333105735278,1.0,0.5260273972602739
0,6,dropout,0.1,ffill,0.10566666666666667,10.813497533465123,0.8995748152078875,1.0,0.2219178082191781
0,6,dropout,0.1,linear,0.10566666666666667,7.652083671895044,0.9311940019836611,1.0,0.2219178082191781
0,6,dropout,0.1,median,0.10566666666666667,9.008446071831871,0.905764352768174,1.0,0.22465753424657534
0,6,dropout,0.3,ffill,0.30975,7.101256810575474,0.8613225288075318,1.0,0.33424657534246577
0,6,dropout,0.3,linear,0.30975,8.797799321970022,0.8671547995459786,1.0,0.336986301369863
0,6,dropout,0.3,median,0.30975,10.534514137984939,0.84407183875621,1.0,0.336986301369863
0,7,clean,0.0,none,0.0,0.0,0.9978472499660296,1.0,0.11813186813186813
0,7,random,0.1,ffill,0.1,2.6365894158001604,0.9876657667789748,1.0,0.5
0,7,random,0.1,linear,0.1,1.9938438365264435,0.9935364411593517,1.0,0.36538461538461536
0,7,random,0.1,median,0.1,9.105018535780857,0.9410673524201691,1.0,0.8131868131868132
0,7,random,0.3,ffill,0.3,2.767768005184149,0.9668919943880985,1.0,0.8104395604395604
0,7,random,0.3,linear,0.3,2.098099575098984,0.9835814265077976,1.0,0.6126373626373627
0,7,random,0.3,median,0.3,9.308627555213485,0.8398481158552032,1.0,0.9807692307692307
0,7,block,0.1,ffill,0.10075,7.316884276965961,0.961232088230786,1.0,0.2554945054945055
0,7,block,0.1,linear,0.10075,4.810916171218277,0.9722944831925896,1.0,0.2554945054945055
0,7,block,0.1,median,0.10075,9.26246666763456,0.9338645234723624,1.0,0.25274725274725274
0,7,block,0.3,ffill,0.3005833333333333,6.539805108276195,0.9117715859811796,1.0,0.5494505494505495
0,7,block,0.3,linear,0.3005833333333333,5.545204921744161,0.9199064939090131,1.0,0.532967032967033
0,7,block,0.3,median,0.3005833333333333,9.193487366745961,0.8478198083048327,1.0,0.5796703296703297
0,7,dropout,0.1,ffill,0.12,10.653991521208338,0.9164212504519486,1.0,0.20054945054945056
0,7,dropout,0.1,linear,0.12,9.608751511656159,0.9174593912548357,1.0,0.1978021978021978
0,7,dropout,0.1,median,0.12,11.366606725235814,0.9105826544077723,1.0,0.1978021978021978
0,7,dropout,0.3,ffill,0.30641666666666667,10.352814487191925,0.7168958065143195,1.0,0.49175824175824173
0,7,dropout,0.3,linear,0.30641666666666667,8.054131890138628,0.7725586098875598,1.0,0.49175824175824173
0,7,dropout,0.3,median,0.30641666666666667,7.69119571451283,0.8123218536940973,1.0,0.4945054945054945
